,title,age,Advance_rate,rating,genre
92,['버블 패밀리'],['전체 관람가'],['0.01'],['9.56'],"[['다큐멘터리', '가족']]"
93,['부러진 창'],['No Description'],['0.01'],['7.00'],"[['모험', '서부']]"
94,['비틀즈: 하드 데이즈 나이트'],['전체 관람가'],['0.01'],['8.67'],"[['코미디', '뮤지컬']]"
95,['사랑을 합시다'],['12세 관람가'],['0.01'],['7.00'],"[['코미디', '뮤지컬', '멜로/로맨스']]"
96,['산타모니카 인 러브'],['12세 관람가'],['0.01'],['8.59'],"[['코미디', '드라마', '멜로/로맨스']]"
97,['슈퍼소닉'],['15세 관람가'],['0.01'],['9.24'],[['다큐멘터리']]
98,['심판'],['15세 관람가'],['0.01'],['8.97'],"[['드라마', '범죄']]"
99,['아비정전'],['15세 관람가'],['0.01'],['8.48'],"[['드라마', '범죄', '멜로/로맨스']]"
100,['아이 캔 스피크'],['12세 관람가'],['0.01'],['9.37'],[['드라마']]
101,['어떤 하루'],['15세 관람가'],['0.01'],['7.77'],[['드라마']]
102,['재혼의 기술'],['12세 관람가'],['0.01'],['7.29'],"[['멜로/로맨스', '코미디']]"
103,['지구 최후의 밤'],['12세 관람가'],['0.01'],['7.56'],"[['드라마', '미스터리']]"
104,['차타레 부인의 사랑'],['청소년 관람불가'],['0.01'],['6.76'],"[['드라마', '멜로/로맨스']]"
105,['천지창조'],['12세 관람가'],['0.01'],['7.64'],[[]]
106,['캐롤'],['청소년 관람불가'],['0.01'],['8.57'],"[['드라마', '멜로/로맨스']]"
107,['패트와 매트: 우당탕탕 크리스마스'],['전체 관람가'],['0.01'],['2.34'],"[['애니메이션', '가족']]"
108,['포레스트 검프'],['12세 관람가'],['0.01'],['9.39'],"[['드라마', '코미디']]"
109,['더 포스트'],['12세 관람가'],[''],['8.73'],"[['드라마', '스릴러']]"
110,['멋진 하루'],['12세 관람가'],[''],['8.17'],"[['드라마', '멜로/로맨스']]"
111,['미스 사이공: 25주년 특별 공연'],['15세 관람가'],[''],['9.20'],[['공연실황']]
112,['밀양'],['15세 관람가'],[''],['7.87'],[['드라마']]
